"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 15, 2019","66,068.00","67,145.34","67,389.00","65,540.07","-","-1.45%"
"Aug 14, 2019","67,039.74","68,271.53","68,326.20","66,965.29","-","-2.27%"
"Aug 13, 2019","68,596.10","67,908.79","68,602.11","67,384.97","-","1.02%"
"Aug 12, 2019","67,905.70","68,265.70","68,265.70","67,441.56","-","-0.88%"
"Aug 09, 2019","68,509.29","68,059.23","68,590.88","67,934.69","-","0.72%"
"Aug 08, 2019","68,019.24","67,507.32","68,231.21","67,424.51","-","0.96%"
"Aug 07, 2019","67,370.48","67,351.64","67,373.75","66,459.45","-","-0.12%"
"Aug 06, 2019","67,453.82","66,113.92","67,479.12","66,113.92","-","1.94%"
"Aug 05, 2019","66,171.15","67,015.57","67,015.57","65,952.61","-","-1.58%"
"Aug 02, 2019","67,230.81","67,325.95","67,505.04","66,704.19","-","-0.06%"
"Aug 01, 2019","67,271.26","66,388.96","67,757.66","66,388.96","-","1.49%"
"Jul 31, 2019","66,282.51","66,282.34","66,406.50","65,790.78","-","0.08%"
"Jul 30, 2019","66,226.95","65,658.08","66,229.96","65,533.54","-","0.94%"
"Jul 29, 2019","65,608.07","65,458.78","65,623.02","64,975.88","-","0.42%"
"Jul 26, 2019","65,330.50","65,368.66","65,628.10","65,234.40","-","0.11%"
"Jul 25, 2019","65,258.28","66,444.82","66,447.61","65,151.29","-","-1.53%"
"Jul 24, 2019","66,271.45","66,539.55","66,602.93","65,970.65","-","-0.28%"
"Jul 23, 2019","66,460.72","66,532.61","66,637.00","66,260.28","-","0.07%"
"Jul 22, 2019","66,414.78","66,461.39","66,560.37","66,142.43","-","0.14%"
"Jul 19, 2019","66,324.73","66,759.95","66,806.30","66,122.58","-","-0.61%"
"Jul 18, 2019","66,732.45","66,679.00","66,800.64","66,416.89","-","0.37%"
"Jul 17, 2019","66,485.47","66,348.63","66,606.65","66,268.43","-","0.37%"
"Jul 16, 2019","66,239.06","66,201.85","66,286.04","65,900.18","-","0.22%"
"Jul 15, 2019","66,096.93","66,758.47","66,845.95","65,997.80","-","-0.86%"
"Jul 12, 2019","66,667.92","67,198.65","67,293.40","66,454.23","-","-0.62%"
"Jul 11, 2019","67,085.98","66,692.37","67,085.98","66,486.36","-","0.61%"
"Jul 10, 2019","66,682.51","66,077.40","66,735.30","66,077.40","-","1.38%"
"Jul 08, 2019","65,776.71","65,226.28","65,858.29","65,158.59","-","0.94%"
"Jul 05, 2019","65,164.86","65,056.44","65,168.45","64,592.52","-","0.23%"
"Jul 04, 2019","65,014.18","64,536.22","65,115.18","64,513.08","-","1.02%"
"Jul 03, 2019","64,360.56","63,489.58","64,393.40","63,217.35","-","1.35%"
"Jul 02, 2019","63,502.67","64,082.52","64,136.88","63,268.88","-","-0.71%"
"Jul 01, 2019","63,956.11","64,070.28","64,246.00","63,760.93","-","0.20%"
"Jun 28, 2019","63,830.97","63,268.40","64,056.83","63,268.40","-","1.23%"
"Jun 27, 2019","63,053.12","61,254.75","63,053.12","60,841.15","-","2.75%"
"Jun 26, 2019","61,366.59","61,500.86","61,717.01","61,142.67","-","0.08%"
